"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Space X flying horizontal because they can’t fly straight up… it’s called a firmament. Duh 😂😂😂","15","2","2025-10-14T06:25:17.000Z","pearljammed","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7352317896406205483","7560959314271634231","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/6d3df23b6abe661e2ef2b9488425c8f5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=471afb90&x-expires=1762959600&x-signature=v0hLNN6LYwoHIIhOtkYmfrddok8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"I saw it at Deerfield Beach FL at 7:30 today. It’s real footage!!!","49","2","2025-10-14T02:13:53.000Z","ricksimo","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7072144145057760298","7560894828848038686","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7077941550008762411~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=12ac4f7e&x-expires=1762959600&x-signature=q4HaQRRkgnqeJ9sP%2FFDZmIelwu4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Galactic federation all around the earth 🙏✨🛸✨💙✨🌎","16","4","2025-10-14T12:37:24.000Z","stavipetri","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7234830930207458331","7561055526223446806","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7234832239727476763~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f749bfe1&x-expires=1762959600&x-signature=DTlgr85IrtoHhSvnPvkmbPa6OZA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"It’s aliens. It’s real. Disclosures soon, Government knows. They are trying to go about it carefully…I mean would you like to land on an alien planet and wait to be dissected? No fear","14","4","2025-10-15T19:18:50.000Z","positivepennynamewriting","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7417860399569912865","7561530095062614807","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/67e2d03ce191f535a24831a2b2099a46~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e57cc372&x-expires=1762959600&x-signature=9FLOZTWXM0Lm7ROe0eAblUtBtV4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Space X","13","5","2025-10-15T15:37:14.000Z","rarj9668","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7326602316122145835","7561472937094693663","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/36049840ad555b7b7b5063baddec65f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8671cfaa&x-expires=1762959600&x-signature=4gTMq4CW%2BvbK2XJKlaml9%2FWvCZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"But why is everyone quick to say “ UFO “ ?? It could be anything but a ufo 😭🤣","7","8","2025-10-14T14:58:57.000Z","riveragenesis222","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","6899476930988344326","7561091949673349943","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a90590ed8cad4e46a9b0381f3a698ba7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=83ec7d1b&x-expires=1762959600&x-signature=bPzeK6GR12UJE3kMBEGXGe4mR7A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"The 3i atlas","13","3","2025-10-14T22:11:52.000Z","omgcam23","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7259044506986267694","7561203556393714446","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/25a3c06906b5b23d065cf6317011fb72~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aa706413&x-expires=1762959600&x-signature=9FXMe9%2FRlOlNMNctudCgwE6m9BQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"project Blue beam","20","14","2025-10-14T21:42:05.000Z","thestagefe2.o","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7427279815835419691","7561195905903510302","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/1ec5f2ccabf1edc0c6c11fdf52c3384f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=55e0b2d0&x-expires=1762959600&x-signature=3Rjlih7fdyEoiAgIGRVPEIF0o0c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"I just curious to know who was the last person that you knew of the passed away and I'll explain myself in a second","1","3","2025-11-11T01:01:59.000Z","mr.knowitall704","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","7230220255124194346","7571266724684333879","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/f4ef2686db6f1579c4acda9bfc6f9516~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=91d25bae&x-expires=1762959600&x-signature=euRnVhKVFZyEv84TKyUtNIviav8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Every one keeps saying space x but why all over the place? Fr? And if so the men why is there space x everywhere. Palantir","30","10","2025-10-14T00:48:58.000Z","patsygurl_333","https://www.tiktok.com/@topcatdasupervillain/video/7560863394878835998","6770925921248625670","7560872971246568247","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cbf89a1c391b28aede8d21469b3b7206~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a8396f8c&x-expires=1762959600&x-signature=Nt60wF9b%2B3uXLKDsTu7uv3DgKAU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
