"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"nope don't see anything","21","0","2024-11-06T20:05:53.000Z","josephbogner59","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7014578104564024325","7434259997335012127","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/fd620f7695bb3698c45f766c25e61978~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5dc53732&x-expires=1763848800&x-signature=WfOKVR95oh7ELMLHqh%2FsD3y5lj8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"😳🥰🥰🥰Great video ignore the neighsayers they just can't see!","1","0","2025-10-16T03:57:15.000Z","johngreer533","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7066225614654915631","7561663519436882743","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/10987ce100f6e92da2ddc0ef1ed0a535~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a6b0c809&x-expires=1763848800&x-signature=xvT2kAfTIvroA1yQSRAm3kXN010%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Can anyone ever catch these on anything other than their grandmas Nokia 6500?","19","6","2024-11-06T23:28:52.000Z","kkallz93","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","6857773132972164102","7434312299374609195","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8c52ce87ae98d9318b15649dcb32c924~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c2703df6&x-expires=1763848800&x-signature=2MeM%2FhNSps%2F%2Bt0sWC76TwsxUAZs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Mantis beings are supposed to be one of the most intelligent and kind beings…. But you never know im sure there’s both negitive and positive just like anything","3","1","2024-12-27T16:05:00.000Z","weird.shit.2.0","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7416731484326970411","7453123230053614378","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/f3b786d16913a539290ae39bc0c41e95~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=63526e67&x-expires=1763848800&x-signature=spK2RxRby7VHJGXD009biRfsO6w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"really wanted to see the insectoid ones. thank you 😀","2","4","2025-05-07T17:39:09.000Z","ant0ni0t0ma","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7437553931419845665","7501759718688736022","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/66dac8bed3aaff0467ed8a8aa516cc76~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ad474194&x-expires=1763848800&x-signature=%2FCouqkn12Ik0N9DFqgc1tPavR9U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"What is the static / pixelation everywhere","2","3","2024-11-07T18:23:28.000Z","trophyfrogs","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","6854385760368542726","7434604579650847530","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/0894087c4b86609c0d43d567a29b4e87~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9cf5e6fb&x-expires=1763848800&x-signature=qKNi86RP3F%2FHKGPLbVPVgoeHcFI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Is a yall have a vivid imagination or I'm just plain Blind. I didn't see a thing.","5","5","2024-11-05T10:33:06.000Z","gordonclarke203","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7029527046976455686","7433740987368178474","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/299dd0635c00c5e8b3131a382e77cc93~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=39284e69&x-expires=1763848800&x-signature=qbu20BKURDWiPF4gNNzTGvv7awA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"it's wave you can see it by camera movie. but not with a picture","1","2","2025-08-08T12:38:49.000Z","lili.ladouce","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7348228712562131973","7536193234051007239","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7384906752897482758~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=deb867be&x-expires=1763848800&x-signature=FicfOAjb8Ji37hxpaP3eqUiu8Pw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I need to buy you a better potato camera","4","5","2024-12-28T06:22:11.000Z","nwadventuretime","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7157777955808117803","7453344128539165486","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a730adaf94a787a73c80101387553e84~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e59e7fca&x-expires=1763848800&x-signature=vJ0sZg7JwWFxCFGIPNbvTQ8JeI0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Can you make a video clarifying what you’re seeing?","1","8","2024-12-24T07:57:20.000Z","wakein2love","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7202767174720963627","7451884291652633374","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/217486377068112d89cc2959da17f803~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3105109a&x-expires=1763848800&x-signature=kxb4VqZPIPt0ByEDipmf9uppOI0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Why is there so much static?????","3","4","2024-11-06T05:23:40.000Z","officialparadoxxdevvai","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","6738235607666443270","7434032587604099882","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0a28d6eb1f42ffc8608c45a1bb1d4ac8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=34174200&x-expires=1763848800&x-signature=Z1O%2FLIypxaKgXNTvCF7CKcMtkuY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"I think that Driver needs to turn in his CDL","0","3","2024-12-29T15:10:39.000Z","joelcring","https://www.tiktok.com/@bluesky4everandever/video/7433655062104280366","7391993953359610923","7453851352601019182","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7393376969754804266~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bf705e24&x-expires=1763848800&x-signature=ABYnu1AYVirF1oTCvkimANnfPhw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
